,Week,Date,Protocol,Happy photo time,Unhappy photo time,Happy avatar time,Unhappy avatar time,Initial Emotion rating,Final Emotion rating,Ease of use,Comments,Time,month,day,cleaned_comments,vader_neg,vader_neu,vader_pos,vader_comp,comp_score,Emotion change
32,3,2022-05-13 00:00:00,8,20.0,0.0,0.0,0.0,-2.0,1.0,2.0,"On the way home late in the evening I once again made a connection with the dark sky, or more precisely the moon. The moon guided me all the way home from school, shining pure and bright overhead. I was reminded of the regularity of the moon phases and was grateful to be lucky enough to see it at this time on the lunar calendar. At the same time, it immediately reminded me of the journey I was on when I was reading the book The Moon and Sixpence. It is interesting to note that the question of the moon or sixpence is one that I have not been able to give a definitive answer to until now. The company of the moon on the way home and these deep thoughts have opened my perspective on life a little.",2022-05-13,5.0,13.0, the way home late the evening once again made connection with the dark sky more precisely the moon the moon guided all the way home from school shining pure and bright overhead was reminded the regularity the moon phases and was grateful lucky enough see this time the lunar calendar the same time immediately reminded the journey was when was reading the book the moon and sixpence interesting note that the question the moon sixpence one that have not been able give definitive answer until now the company the moon the way home and these deep thoughts have opened perspective life little,0.0,0.896,0.104,0.886,pos,1.0
42,4,2022-05-17 00:00:00,9,0.0,5.0,0.0,0.0,-3.0,-3.0,2.0,"A gentler attempt, one can feel a great resistance to recalling details, a rush to end the recall, and mixed feelings in the heart afterwards.",2022-05-17,5.0,17.0, gentler attempt one can feel great resistance recalling details rush end the recall and mixed feelings the heart afterwards,0.0,0.599,0.401,0.8934,pos,0.0
43,4,2022-05-18 00:00:00,9,5.0,0.0,0.0,5.0,-1.0,0.0,2.0,Started when I was a little more calm and rational. It was still a strong sense of resistance but I kept a calm review of how it started and how it turned out. My emotional fluctuations were not as great as the first time. My feeling is that things that I used to find profound and heartbreaking may come to a different conclusion when viewed from a different perspective.,2022-05-18,5.0,18.0,started when was little more calm and rational was still strong sense resistance but kept calm review how started and how turned out emotional fluctuations were not great the first time feeling that things that used find profound and heartbreaking may come different conclusion when viewed from different perspective,0.139,0.69,0.171,-0.2579,neg,0.24999999999999994
44,4,2022-05-19 00:00:00,9,22.0,0.0,0.0,0.0,-1.0,-2.0,2.0,"With regards to reviewing the awful experience, there will be two feelings down the line so far. One is being in the moment and experiencing what it was like and being very emotional; the other is watching things unfold from a third perspective and noticing people who I hadn't noticed before and who were still willing to be gentle when I was in adversity.",2022-05-19,5.0,19.0,with regards reviewing the awful experience there will two feelings down the line far one being the moment and experiencing what was like and being very emotional the other watching things unfold from third perspective and noticing people who had noticed before and who were still willing gentle when was adversity,0.098,0.778,0.123,0.1263,pos,-0.25000000000000006
45,4,2022-05-20 00:00:00,9,10.0,0.0,0.0,3.0,0.0,2.0,2.0,"I'm being more cautious, opting for the milder trauma of careful trial since I'm not emotionally prepared for it yet. As a result, I believe that the negative events of the past are more controllable than the negative events of the present. Imaging the avatar, that little me, is going through the same thing, but I still felt upset because I know how it ends. For the time being, convincing me that the ending of my past experiences could be rewritten is difficult.",2022-05-20,5.0,20.0, being more cautious opting for the milder trauma careful trial since not emotionally prepared for yet result believe that the negative events the past are more controllable than the negative events the present imaging the avatar that little going through the same thing but still felt upset because know how ends for the time being convincing that the ending past experiences could rewritten difficult,0.21,0.726,0.064,-0.8434,neg,0.3999999999999999
46,4,2022-05-21 00:00:00,10,3.0,0.0,0.0,0.0,0.0,-1.0,2.0,I'm not ready yet; exercise 10 gives me a lot of resistance and hesitation right now; I'll ease into it over the following several weeks.,2022-05-21,5.0,21.0, not ready yet exercise gives lot resistance and hesitation right now ease into over the following several weeks,0.194,0.691,0.115,-0.1803,neg,-0.19999999999999996
57,5,2022-05-23 00:00:00,12,5.0,0.0,0.0,0.0,0.0,2.0,2.0,"Combining a sense of achievement with the release of laughter, I feel a sense of accomplishment from the heart. It feels like laughing amplifies and enhances this positive emotion",2022-05-23,5.0,23.0,combining sense achievement with the release laughter feel sense accomplishment from the heart feels like laughing amplifies and enhances this positive emotion,0.0,0.495,0.505,0.9542,pos,0.3999999999999999
59,5,2022-05-24 00:00:00,11,10.0,0.0,0.0,0.0,-2.0,0.0,2.0,"A great way to wake me up and motivate me to accomplish more during the day. This laid-back approach to the day delivers a favourable mental message to me, encouraging me to follow the inertia of wanting to make the most of the time ahead and avoid procrastinating.",2022-05-24,5.0,24.0, great way wake and motivate accomplish more during the day this laidback approach the day delivers favourable mental message encouraging follow the inertia wanting make the most the time ahead and avoid procrastinating,0.05,0.617,0.332,0.9067,pos,0.6666666666666667
60,5,2022-05-24 00:00:00,12,3.0,0.0,0.0,0.0,-2.0,-2.0,2.0,"Although I didn't accomplish all that expected and wasn't in such a good mood at first, when I turned on the music and then went from smiling to stretching my facial muscles and laughing, this practise gave me a sense of comfort and encouragement",2022-05-24,5.0,24.0,although did accomplish all that expected and was such good mood first when turned the music and then went from smiling stretching facial muscles and laughing this practise gave sense comfort and encouragement,0.0,0.611,0.389,0.9451,pos,0.0
61,5,2022-05-25 00:00:00,12,12.0,0.0,0.0,0.0,-1.0,2.0,2.0,"A very moving experience, I feel recognized, fulfilled, grateful and cherished",2022-05-25,5.0,25.0, very moving experience feel recognized fulfilled grateful and cherished,0.0,0.397,0.603,0.8442,pos,0.7499999999999998
62,5,2022-05-26 00:00:00,12,5.0,0.0,0.0,0.0,-3.0,-1.0,2.0,"Even though I wasn't in the best of moods at the time, I attempted a burst of laughter by watching the'solo laughing' video and observing myself in the mirror, and I gradually felt the pleasant feelings surrounding me. I had been plagued by bitterness prior to the exercise, but I have since let go of part of it, regained my energy and passion, and felt ready to tackle more difficult situations.",2022-05-26,5.0,26.0,even though was the best moods the time attempted burst laughter watching thesolo laughing video and observing myself the mirror and gradually felt the pleasant feelings surrounding had been plagued bitterness prior the exercise but have since let part regained energy and passion and felt ready tackle more difficult situations,0.086,0.638,0.276,0.881,pos,1.0
65,5,2022-05-27 00:00:00,12,0.0,0.0,5.0,2.0,2.0,2.0,3.0,"The image of a VR child is already very deep in my mind. Without the aid of the VR lens, in normal life I would suddenly think of a child and have her happy or sad state in my mind. Of these moments, the chances of thinking of the happy child were higher, accounting for almost 75%.",2022-05-27,5.0,27.0,the image child already very deep mind without the aid the lens normal life would suddenly think child and have her happy sad state mind these moments the chances thinking the happy child were higher accounting for almost ,0.067,0.734,0.199,0.7269,pos,0.0
67,5,2022-05-28 00:00:00,11,5.0,0.0,0.0,0.0,0.0,1.0,2.0,"The first thing I thought of when I woke up was this laughing exercise, which helped me to clear my head a lot and I was full of motivation to finish the tasks ahead.",2022-05-28,5.0,28.0,the first thing thought when woke was this laughing exercise which helped clear head lot and was full motivation finish the tasks ahead,0.0,0.696,0.304,0.8294,pos,0.19999999999999996
68,5,2022-05-28 00:00:00,12,2.0,0.0,0.0,0.0,-2.0,-2.0,2.0,Timely positive feedback on the completion of tasks helps to relax and compact the motivational effect.,2022-05-28,5.0,28.0,timely positive feedback the completion tasks helps relax and compact the motivational effect,0.0,0.524,0.476,0.8442,pos,0.0
84,7,2022-06-06 00:00:00,17,0.0,0.0,0.0,7.0,-1.0,-2.0,2.0,I gathered all of the bad sensations that had been running through my mind recently this time. I experienced a strong sense of shame and condemnation when I looked carefully at my rebellious/selfish intentions. It's difficult for me to control my emotions once I've been immersed in them.,2022-06-06,6.0,6.0, gathered all the bad sensations that had been running through mind recently this time experienced strong sense shame and condemnation when looked carefully rebelliousselfish intentions difficult for control emotions once been immersed them,0.289,0.604,0.107,-0.8442,neg,-0.25000000000000006
85,7,2022-06-06 00:00:00,18,0.0,0.0,0.0,10.0,-2.0,-1.0,2.0,Re-directing the aggressive energy caused by these feelings is a bit difficult for me and I felt that my child was deeply involved in it as well.,2022-06-06,6.0,6.0,redirecting the aggressive energy caused these feelings bit difficult for and felt that child was deeply involved well,0.182,0.62,0.198,0.0972,pos,0.3333333333333335
86,7,2022-06-07 00:00:00,17,0.0,0.0,0.0,10.0,-2.0,-2.0,2.0,"When I looked back at my negativity, I saw that I seldom took control of it and that I was constantly caught in it for a long time, wasting a lot of time and energy. After being conscious of those extreme emotions, perhaps the first step to make a difference is to take control and regulate my emotions on my own.",2022-06-07,6.0,7.0,when looked back negativity saw that seldom took control and that was constantly caught for long time wasting lot time and energy after being conscious those extreme emotions perhaps the first step make difference take control and regulate emotions own,0.133,0.82,0.047,-0.5994,neg,0.0
87,7,2022-06-07 00:00:00,18,20.0,0.0,0.0,0.0,-2.0,1.0,2.0,"By going on a walk, I was able to shift my emotions toward calmness. I felt a lot better when my focus was redirected away from the gloomy mood I had been in.",2022-06-07,6.0,7.0, going walk was able shift emotions toward calmness felt lot better when focus was redirected away from the gloomy mood had been ,0.061,0.725,0.214,0.6124,pos,1.0
88,7,2022-06-08 00:00:00,17,0.0,0.0,0.0,5.0,1.0,3.0,2.0,"I got better at my ability to recognise and categorise my evil feelings. It was impossible to totally block the spread of these thoughts in my head, but I did my best. This was quite rewarding, and it motivated me to keep on with the breakthrough.",2022-06-08,6.0,8.0, got better ability recognise and categorise evil feelings was impossible totally block the spread these thoughts head but did best this was quite rewarding and motivated keep with the breakthrough,0.103,0.493,0.404,0.9436,pos,0.3333333333333335
89,7,2022-06-08 00:00:00,18,10.0,0.0,0.0,0.0,3.0,4.0,2.0," I chatted with my friends to redirect my emotions in a positive direction, and after hearing and sharing their thoughts, I am also affected by such a nice and hopeful atmosphere. The extreme emotions faded a lot after the talk.",2022-06-08,6.0,8.0, chatted with friends redirect emotions positive direction and after hearing and sharing their thoughts also affected such nice and hopeful atmosphere the extreme emotions faded lot after the talk,0.04,0.572,0.388,0.9325,pos,0.12499999999999997
90,7,2022-06-09 00:00:00,17,0.0,0.0,0.0,5.0,-3.0,-3.0,2.0,"So far today, I've been much more conscious of my negative/vengeful thoughts, and I've seen that I'm quite quick to mirror sentiments to the unhappy child.",2022-06-09,6.0,9.0, far today been much more conscious negativevengeful thoughts and seen that quite quick mirror sentiments the unhappy child,0.141,0.859,0.0,-0.4215,neg,0.0
91,7,2022-06-09 00:00:00,18,0.0,0.0,0.0,8.0,-3.0,1.0,2.0,"I gazed at the unhappy child for long periods of time without saying anything, but I maintained eye contact and a spiritual connection with her, much like my mother did with me as a child. I was able to regulate and suppress my negative/retaliatory thoughts by staring for an extended period of time.",2022-06-09,6.0,9.0, gazed the unhappy child for long periods time without saying anything but maintained eye contact and spiritual connection with her much like mother did with child was able regulate and suppress negativeretaliatory thoughts staring for extended period time,0.046,0.875,0.079,0.3291,pos,1.9999999999999998
92,7,2022-06-10 00:00:00,17,0.0,0.0,0.0,5.0,-4.0,-3.0,2.0,"Throughout the day, I became conscious of my bitterness and self-loathing. Being able to manage my emotions provided me with a sense of control and relief.",2022-06-10,6.0,10.0,throughout the day became conscious bitterness and selfloathing being able manage emotions provided with sense control and relief,0.124,0.734,0.142,0.1027,pos,1.0
93,7,2022-06-10 00:00:00,18,0.0,0.0,0.0,5.0,-3.0,-2.0,2.0,Contain the eruption and venting of these emotions in a smooth manner.,2022-06-10,6.0,10.0,contain the eruption and venting these emotions smooth manner,0.0,1.0,0.0,0.0,neu,0.4999999999999999
94,7,2022-06-10 00:00:00,18,20.0,0.0,0.0,0.0,-2.0,3.0,2.0,"So far, talking to friends, active listening, and supporting others have proven to be the most successful ways for me to alter my extreme emotions. This also contributes to my noble goal of selflessly helping and giving to those I care about and who care about me.",2022-06-10,6.0,10.0, far talking friends active listening and supporting others have proven the most successful ways for alter extreme emotions this also contributes noble goal selflessly helping and giving those care about and who care about ,0.0,0.483,0.517,0.9771,pos,1.6666666666666667
98,8,2022-06-13 00:00:00,19,0.0,0.0,10.0,0.0,1.0,1.0,2.0,"After thinking about recent social issues that have sparked heated debates about gender inequality, it is possible to change opinions, but I'm not sure I can fully support them.",2022-06-13,6.0,13.0,after thinking about recent social issues that have sparked heated debates about gender inequality possible change opinions but not sure can fully support them,0.086,0.774,0.14,0.3708,pos,0.0
99,8,2022-06-13 00:00:00,20,10.0,0.0,0.0,0.0,1.0,3.0,2.0,"Very enjoyable exercise, I felt empowered after reading along! I chose affirmations from my junior and senior years that encouraged me, from politicians, philosophers and literary figures in history. I thought back to the stories behind those affirmations.",2022-06-13,6.0,13.0,very enjoyable exercise felt empowered after reading along chose affirmations from junior and senior years that encouraged from politicians philosophers and literary figures history thought back the stories behind those affirmations,0.0,0.836,0.164,0.6901,pos,0.3333333333333335
100,8,2022-06-14 00:00:00,19,0.0,0.0,6.0,0.0,2.0,3.0,2.0,"Having discussed sexual eqviews with a friend prior to this, I approached the exercise with a more open mind after a series of communications of persuasion, rebuttal and acceptance. I felt a stronger sense of inclusion.",2022-06-14,6.0,14.0,having discussed sexual eqviews with friend prior this approached the exercise with more open mind after series communications persuasion rebuttal and acceptance felt stronger sense inclusion,0.0,0.723,0.277,0.8316,pos,0.142857142857143
101,8,2022-06-14 00:00:00,20,15.0,0.0,0.0,0.0,3.0,5.0,2.0,"Thinking back to my junior and senior years, when I was inspired by these quotations and affirmations, made me felt encouraged.",2022-06-14,6.0,14.0,thinking back junior and senior years when was inspired these quotations and affirmations made felt encouraged,0.0,0.711,0.289,0.6908,pos,0.24999999999999994
102,8,2022-06-15 00:00:00,19,5.0,0.0,0.0,0.0,1.0,1.0,2.0,"What I learned is that the first step to creativity is inclusiveness, the courage to tear down labels and fix stereotypes about things",2022-06-15,6.0,15.0,what learned that the first step creativity inclusiveness the courage tear down labels and fix stereotypes about things,0.0,0.734,0.266,0.7003,pos,0.0
103,8,2022-06-15 00:00:00,20,8.0,0.0,0.0,0.0,1.0,3.0,2.0,"As I read the affirmations, I felt a sense of conviction, as if I had been through the experiences of those famous people and empathised with them in that situation",2022-06-15,6.0,15.0, read the affirmations felt sense conviction had been through the experiences those famous people and empathised with them that situation,0.0,1.0,0.0,0.0,neu,0.3333333333333335
104,8,2022-06-16 00:00:00,19,0.0,0.0,12.0,0.0,1.0,2.0,2.0,I talked with my avatar about creativity and how important it is to be able to see things from different points of view and embrace different points of view. It was a very inspiring conversation that made me think a lot.,2022-06-16,6.0,16.0, talked with avatar about creativity and how important able see things from different points view and embrace different points view was very inspiring conversation that made think lot,0.0,0.71,0.29,0.8313,pos,0.16666666666666663
105,8,2022-06-16 00:00:00,20,5.0,0.0,0.0,0.0,2.0,3.0,2.0,"Some of the affirmations I may not have understood or been convinced by at first, but as I read more, I gained a deeper understanding",2022-06-16,6.0,16.0,some the affirmations may not have understood been convinced first but read more gained deeper understanding,0.0,0.711,0.289,0.6897,pos,0.142857142857143
106,8,2022-06-17 00:00:00,19,0.0,0.0,6.0,0.0,1.0,4.0,2.0,"Not only did I take the challenge of thinking outside of the mainstream ideological framework while practising, but I also applied it to other aspects of my life to consider the possibility of other decisions/solutions.",2022-06-17,6.0,17.0,not only did take the challenge thinking outside the mainstream ideological framework while practising but also applied other aspects life consider the possibility other decisionssolutions,0.0,0.954,0.046,0.0387,pos,0.5000000000000001
107,8,2022-06-17 00:00:00,20,6.0,0.0,0.0,0.0,2.0,3.0,2.0,I am convinced that these inspiring affirmations give me a stronger motivation to put my ideas into action,2022-06-17,6.0,17.0, convinced that these inspiring affirmations give stronger motivation put ideas into action,0.0,0.432,0.568,0.8591,pos,0.142857142857143
75,6,2022-06-02 00:00:00,15,0.0,10.0,0.0,0.0,0.0,-1.0,2.0,"Feelings of mixed, somewhat conflicting emotions",2022-06-02,6.0,2.0,feelings mixed somewhat conflicting emotions,0.376,0.624,0.0,-0.3415,neg,-0.19999999999999996
76,6,2022-06-02 00:00:00,15,0.0,10.0,0.0,0.0,1.0,2.0,2.0,"I was able to shift my perspective. The point where I felt a little hesitant was that these painful/negative things were the daggers that would stab me in the heart and at the same time the dark energy that would motivate me to keep going. Shifting my perspective would in a sense release me from it, and was also breaking down the mental constructs on which my beliefs had been based for so long.",2022-06-02,6.0,2.0, was able shift perspective the point where felt little hesitant was that these painfulnegative things were the daggers that would stab the heart and the same time the dark energy that would motivate keep going shifting perspective would sense release from and was also breaking down the mental constructs which beliefs had been based for long,0.084,0.78,0.136,0.5256,pos,0.16666666666666663
77,6,2022-06-02 00:00:00,15,0.0,0.0,0.0,10.0,-1.0,1.0,2.0,"It would be easier to make transformative insights in a virtual environment than in a real one. It is a solitary and private environment where it is easier to unfold memories.
I felt compassionate, powerless emotions by imagining that the child was going through a painful experience.",2022-06-02,6.0,2.0, would easier make transformative insights virtual environment than real one solitary and private environment where easier unfold memories felt compassionate powerless emotions imagining that the child was going through painful experience,0.149,0.636,0.215,0.4019,pos,0.4999999999999999
